Rst DateTime,Machine#,Emp#,Major,Minor0,Minor1,Minor2,Minor3,Minor4,Detail,Comment,Part#,Lot#,LotCount,LPM DateTime
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,4802,12/1/2022 0:46
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,4866,12/1/2022 1:10
12/1/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,4943,12/1/2022 1:40
12/1/2022,RB17,580,Hypotube Loading,Hypotube insert sensor,NULL,NULL,NULL,NULL,NULL,hypotube slide ,123456,lotno,5000,12/1/2022 7:26
12/1/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,5238,12/1/2022 8:34
12/1/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,5763,12/1/2022 10:58
12/1/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,5810,12/1/2022 11:22
12/1/2022,RB17,580,Hypotube Loading,Hypotube insert sensor,NULL,NULL,NULL,NULL,NULL,hypotube loaded,123456,lotno,5825,12/1/2022 11:34
12/1/2022,RB17,495,Hypotube Loading,Reject quantity,NULL,NULL,NULL,NULL,NULL,bent hypotube,123456,lotno,5874,12/1/2022 12:19
12/1/2022,RB17,495,Engineering,Mechanical changes,Press,NULL,NULL,NULL,NULL,adj hypotube insert guide slightly such that the hypotube is not hitting the edge of the die as it is being inserted,123456,lotno,5899,12/1/2022 12:40
12/1/2022,RB17,495,Auxiliary,Robot 2 Crash,NULL,NULL,NULL,NULL,NULL,rb2 arm broke while trying to pull out the hypotube assembly from the crimp. Crimp had a large fin that prevented it from going through the hyp insert guide,123456,lotno,5919,12/1/2022 12:46
12/1/2022,RB17,495,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light curtain trying to retrieve hypotube,123456,lotno,5984,12/1/2022 13:31
12/1/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,6115,12/1/2022 14:13
12/1/2022,RB17,405,Non Error,Unknown cause of failure,Yes,NULL,NULL,NULL,NULL,light curtain tripped,123456,lotno,6365,12/1/2022 15:31
12/1/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,R-4837 Spool#1,123456,lotno,6538,12/1/2022 16:27
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,6636,12/1/2022 16:59
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,6710,12/1/2022 17:31
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,6828,12/1/2022 18:05
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,6843,12/1/2022 18:19
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,6855,12/1/2022 18:24
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,6858,12/1/2022 18:36
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hypo slide not in retracted position,123456,lotno,6897,12/1/2022 18:50
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hypo slide is not in retracted position,123456,lotno,6897,12/1/2022 18:50
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hypotube slide is not in retracted position,123456,lotno,6897,12/1/2022 18:50
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hypo slide is not in retracted position,123456,lotno,6991,12/1/2022 19:25
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,6991,12/1/2022 19:25
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light tripped,123456,lotno,7037,12/1/2022 20:01
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,7263,12/1/2022 21:02
12/1/2022,RB17,607,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,hyposlide is not in retracted position,123456,lotno,7416,12/1/2022 21:49
12/1/2022,RB17,448,Non Error,Unknown cause of failure,No,NULL,NULL,NULL,NULL,light curtain,123456,lotno,7543,12/1/2022 22:28
12/2/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,8311,12/2/2022 2:03
12/2/2022,RB17,487,Non Error,Accidental light curtain,NULL,NULL,NULL,NULL,NULL,broke light,123456,lotno,8401,12/2/2022 7:40
