,LPM DateTime,Rst DateTime,Downtime Type,time_per_stop,Minutes down at the hour,max minutes to be absorbed,remainder left for future hours,Detail,Major,Minor0,Part#,Lot#
1744,12/1/2022,53:39.9,no valid code,0 days 00:07:04.926000,7.083333333,7.083333333,0,,Non Error,Unknown cause of failure,123456,lotno
1745,12/1/2022,12:14.0,no valid code,0 days 00:01:20.777000,1.35,1.35,0,,Non Error,Unknown cause of failure,123456,lotno
1746,12/1/2022,00:00.0,no valid code,0 days 00:19:57.808000,-40.03333333,-40.03333333,0,,Non Error,Unknown cause of failure,123456,lotno
1747,12/1/2022,09:29.2,no valid code,0 days 05:09:29.237000,overflow,60,249.4872833,,Non Error,Unknown cause of failure,123456,lotno
1748,12/1/2022,30:43.6,non-planned,0 days 00:04:27.206000,4.45,4.45,0,,Hypotube Loading,Hypotube insert sensor,123456,lotno
1749,12/1/2022,38:44.9,non-planned,0 days 00:04:28.688000,4.466666667,4.466666667,0,,Non Error,Accidental light curtain,123456,lotno
1750,12/1/2022,00:00.0,no valid code,0 days 00:01:06.870000,-58.88333333,-58.88333333,0,,Non Error,Unknown cause of failure,123456,lotno
1751,12/1/2022,06:58.1,no valid code,0 days 00:06:58.099000,6.966666667,6.966666667,0,,Non Error,Unknown cause of failure,123456,lotno
1752,12/1/2022,29:14.4,non-planned,0 days 00:06:30.256000,6.5,6.5,0,,Non Error,Accidental light curtain,123456,lotno
1753,12/1/2022,37:42.4,non-planned,0 days 00:03:19.683000,3.333333333,3.333333333,0,,Hypotube Loading,Hypotube insert sensor,123456,lotno
1754,12/1/2022,23:26.3,non-planned,0 days 00:03:57.106000,3.95,3.95,0,,Hypotube Loading,Reject quantity,123456,lotno
1755,12/1/2022,41:35.1,planned,0 days 00:01:27.021000,1.45,1.45,0,,Engineering,Mechanical changes,123456,lotno
1756,12/1/2022,00:00.0,non-planned,0 days 00:13:04.738000,-46.91666667,-46.91666667,0,,Auxiliary,Robot 2 Crash,123456,lotno
1757,12/1/2022,06:28.9,non-planned,0 days 00:06:28.896000,6.466666667,6.466666667,0,,Auxiliary,Robot 2 Crash,123456,lotno
1758,12/1/2022,32:59.5,non-planned,0 days 00:01:10.577000,1.183333333,1.183333333,0,,Non Error,Accidental light curtain,123456,lotno
1759,12/1/2022,19:05.1,non-planned,0 days 00:05:48.440000,5.816666667,5.816666667,0,,Non Error,Accidental light curtain,123456,lotno
1760,12/1/2022,35:47.9,no valid code,0 days 00:04:31.017000,4.516666667,4.516666667,0,,Non Error,Unknown cause of failure,123456,lotno
1761,12/1/2022,28:47.5,non-planned,0 days 00:01:27.722000,1.466666667,1.466666667,0,,Non Error,Accidental light curtain,123456,lotno
1762,12/1/2022,00:00.0,no valid code,0 days 00:00:11.614000,-59.8,-59.8,0,,Non Error,Unknown cause of failure,123456,lotno
1763,12/1/2022,11:16.9,no valid code,0 days 00:11:16.871000,11.26666667,11.26666667,0,,Non Error,Unknown cause of failure,123456,lotno
1764,12/1/2022,32:51.1,no valid code,0 days 00:01:06.853000,1.116666667,1.116666667,0,,Non Error,Unknown cause of failure,123456,lotno
1765,12/1/2022,11:22.4,no valid code,0 days 00:06:04.965000,6.083333333,6.083333333,0,,Non Error,Unknown cause of failure,123456,lotno
1766,12/1/2022,20:38.4,no valid code,0 days 00:01:19.583000,1.333333333,1.333333333,0,,Non Error,Unknown cause of failure,123456,lotno
1767,12/1/2022,35:17.9,no valid code,0 days 00:10:22.648000,10.36666667,10.36666667,0,,Non Error,Unknown cause of failure,123456,lotno
1768,12/1/2022,40:36.9,no valid code,0 days 00:04:27.807000,4.45,4.45,0,,Non Error,Unknown cause of failure,123456,lotno
1769,12/1/2022,59:52.1,no valid code,0 days 00:08:53.312000,8.9,8.9,0,,Non Error,Unknown cause of failure,123456,lotno
1770,12/1/2022,42:30.2,no valid code,0 days 00:17:11.568000,17.2,17.2,0,,Non Error,Unknown cause of failure,123456,lotno
1771,12/1/2022,02:19.8,no valid code,0 days 00:00:43.428000,0.716666667,0.716666667,0,,Non Error,Unknown cause of failure,123456,lotno
1772,12/1/2022,08:29.8,no valid code,0 days 00:06:12.374000,6.2,6.2,0,,Non Error,Unknown cause of failure,123456,lotno
1773,12/1/2022,53:53.9,no valid code,0 days 00:04:02.987000,4.05,4.05,0,,Non Error,Unknown cause of failure,123456,lotno
1774,12/1/2022,30:55.0,no valid code,0 days 00:02:46.753000,2.783333333,2.783333333,0,,Non Error,Unknown cause of failure,123456,lotno
1775,12/2/2022,00:00.0,non-planned,0 days 00:56:32.332000,-3.45,-3.45,0,,Non Error,Accidental light curtain,123456,lotno
1776,12/2/2022,14:55.7,non-planned,0 days 04:14:55.713000,overflow,60,194.92855,,Non Error,Accidental light curtain,123456,lotno
1777,12/2/2022,44:55.9,non-planned,0 days 00:04:25.160000,4.416666667,4.416666667,0,,Non Error,Accidental light curtain,123456,lotno
1778,12/2/2022,54:26.3,non-planned,0 days 00:00:44.703000,0.75,0.75,0,,Non Error,Accidental light curtain,123456,lotno
1779,12/2/2022,29:48.6,non-planned,0 days 00:04:09.043000,4.15,4.15,0,,Hypotube Loading,Hypotube insert sensor,123456,lotno
1780,12/2/2022,57:38.8,planned,0 days 00:02:20.724000,2.333333333,2.333333333,0,,Non Error,Material change,123456,lotno
1781,12/2/2022,53:03.3,non-planned,0 days 00:17:47.786000,17.8,17.8,0,,Non Error,Accidental light curtain,123456,lotno
1782,12/2/2022,30:14.9,non-planned,0 days 00:05:37.363000,5.616666667,5.616666667,0,,Non Error,Accidental light curtain,123456,lotno
1783,12/2/2022,33:13.2,non-planned,0 days 00:02:47.002000,2.783333333,2.783333333,0,,Crimping,Stuck in die,123456,lotno
1784,12/2/2022,40:24.9,no valid code,0 days 00:04:37.500000,4.616666667,4.616666667,0,,Non Error,Unknown cause of failure,123456,lotno
1785,12/2/2022,00:00.0,non-planned,0 days 00:03:26.584000,-56.55,-56.55,0,,Crimping,Stuck in die,123456,lotno
1786,12/2/2022,01:11.4,non-planned,0 days 00:01:11.396000,1.183333333,1.183333333,0,,Crimping,Stuck in die,123456,lotno
1787,12/2/2022,30:11.9,non-planned,0 days 00:04:07.929000,4.133333333,4.133333333,0,,Inspection,Reject quantity,123456,lotno
1788,12/2/2022,51:19.8,planned,0 days 00:01:59.804000,2,2,0,,Non Error,Material change,123456,lotno
1789,12/2/2022,53:34.6,non-planned,0 days 00:02:14.817000,2.25,2.25,0,,Non Error,Accidental light curtain,123456,lotno
1790,12/2/2022,19:04.3,non-planned,0 days 00:00:40.826000,0.683333333,0.683333333,0,,Non Error,Accidental light curtain,123456,lotno
1791,12/2/2022,50:56.2,non-planned,0 days 00:00:34.351000,0.583333333,0.583333333,0,,Non Error,Accidental light curtain,123456,lotno
1792,12/2/2022,00:00.0,no valid code,0 days 00:02:24.312000,-57.58333333,-57.58333333,0,,Non Error,Unknown cause of failure,123456,lotno
1793,12/2/2022,17:09.8,no valid code,0 days 00:17:09.810000,17.15,17.15,0,,Non Error,Unknown cause of failure,123456,lotno
1794,12/2/2022,20:10.0,non-planned,0 days 00:03:00.144000,3,3,0,,Non Error,Accidental light curtain,123456,lotno
1795,12/2/2022,55:39.4,non-planned,0 days 00:12:22.327000,12.36666667,12.36666667,0,,Non Error,Accidental light curtain,123456,lotno
1796,12/2/2022,18:23.0,no valid code,0 days 00:01:11.003000,1.183333333,1.183333333,0,,Non Error,Unknown cause of failure,123456,lotno
1797,12/2/2022,30:06.6,planned,0 days 00:00:28.152000,0.466666667,0.466666667,0,,Non Error,Material change,123456,lotno
1798,12/3/2022,58:45.4,no valid code,0 days 00:05:39.115000,5.65,5.65,0,,Non Error,Unknown cause of failure,123456,lotno
1799,12/3/2022,16:17.3,planned,0 days 00:01:47.494000,1.8,1.8,0,,Non Error,Material change,123456,lotno
1800,12/3/2022,00:00.0,non-planned,0 days 00:21:45.271000,-38.23333333,-38.23333333,0,,Swaging,Cable stuck in die,123456,lotno
1801,12/3/2022,03:35.4,non-planned,0 days 04:03:35.380000,overflow,60,183.5896667,,Swaging,Cable stuck in die,123456,lotno
