,DateTime,Part #,Lot #,Lot Count,Parts Made,Reject1,Reject2,Reject3,Reject4,Reject5,Reject6,Reject7,Reject8,Reject9,Reject10,Reject11,Reject12,Reject13,Reject14,Reject15,Reject16,Reject17,Reject18,Reject19,Reject20,Reject21,Reject22,Total Rejects,total_down_minutes,total_planned_minutes,total_unplanned_minutes
8016,12/1/2022 0:00,123456,lotno,4624,154,0,0,0,7,9,0,0,0,0,0,0,47,3,0,0,0,0,0,N/A,N/A,N/A,N/A,14.25,16,0,16
8017,12/1/2022 1:00,123456,lotno,4825,201,0,0,0,3,3,0,0,0,0,0,0,55,1,0,0,0,0,0,N/A,N/A,N/A,N/A,5.25,7,0,7
8018,12/1/2022 2:00,123456,lotno,4943,118,0,0,0,2,4,0,0,0,0,0,0,30,1,0,0,0,0,0,N/A,N/A,N/A,N/A,5.25,21,0,21
8019,12/1/2022 3:00,123456,lotno,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,60,0,60
8020,12/1/2022 4:00,123456,lotno,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,60,0,60
8021,12/1/2022 5:00,123456,lotno,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,60,0,60
8022,12/1/2022 6:00,123456,lotno,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,60,0,60
8023,12/1/2022 7:00,123456,lotno,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,60,0,60
8024,12/1/2022 8:00,123456,lotno,5108,165,0,0,0,1,1,0,0,0,0,0,0,55,0,0,0,0,2,0,N/A,N/A,N/A,N/A,1.5,13,0,13
8025,12/1/2022 9:00,123456,lotno,5316,208,0,0,0,0,1,0,0,0,0,0,0,87,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0.75,4,0,4
8026,12/1/2022 10:00,123456,lotno,5538,222,0,0,0,0,0,2,0,0,0,0,0,56,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0.5,0,0,0
8027,12/1/2022 11:00,123456,lotno,5763,225,0,0,0,0,1,0,0,0,0,0,0,54,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0.75,1,0,1
8028,12/1/2022 12:00,123456,lotno,5861,98,0,0,0,4,6,1,0,0,0,0,0,38,2,0,0,0,0,0,N/A,N/A,N/A,N/A,9.25,16,0,16
8029,12/1/2022 13:00,123456,lotno,5919,58,3,0,0,0,1,0,0,0,0,0,0,28,0,2,1,0,0,0,N/A,N/A,N/A,N/A,6.75,18,1,17
8030,12/1/2022 14:00,123456,lotno,6081,162,0,0,0,5,6,2,0,0,0,0,0,70,1,2,0,0,1,0,N/A,N/A,N/A,N/A,11.5,7,0,7
8031,12/1/2022 15:00,123456,lotno,6255,174,0,0,0,8,8,0,0,0,0,0,0,65,3,2,0,0,0,0,N/A,N/A,N/A,N/A,16.25,6,0,6
8032,12/1/2022 16:00,123456,lotno,6436,181,0,0,0,5,7,0,0,0,0,0,0,57,2,8,0,0,0,0,N/A,N/A,N/A,N/A,18.5,5,0,5
8033,12/1/2022 17:00,123456,lotno,6636,200,3,0,0,0,1,2,0,0,0,0,0,60,0,1,0,0,0,0,N/A,N/A,N/A,N/A,5.25,1,0,1
8034,12/1/2022 18:00,123456,lotno,6807,171,1,0,0,4,5,0,0,0,0,0,0,59,2,0,0,0,0,0,N/A,N/A,N/A,N/A,9.25,12,0,12
8035,12/1/2022 19:00,123456,lotno,6897,90,0,0,0,9,8,1,0,0,0,0,0,40,3,2,0,0,0,0,N/A,N/A,N/A,N/A,17.25,30,0,30
8036,12/1/2022 20:00,123456,lotno,7030,133,2,0,0,2,2,1,0,0,0,0,0,75,0,1,0,0,0,1,N/A,N/A,N/A,N/A,6.25,17,0,17
8037,12/1/2022 21:00,123456,lotno,7255,225,0,0,1,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,N/A,N/A,N/A,N/A,1,1,0,1
